"sex","age_cat","race","priors_count","c_charge_degree","length_of_stay","two_year_recid"
"Male","25 - 45","African-American",0,"F",10,"1"
"Male","< 25","African-American",4,"F",1,"1"
"Male","25 - 45","Caucasian",14,"F",6,"1"
"Female","25 - 45","Caucasian",0,"M",3,"0"
"Male","< 25","Caucasian",1,"F",1,"1"
"Male","25 - 45","Caucasian",0,"F",1,"0"
"Male","< 25","African-American",3,"M",4,"1"
"Female","25 - 45","Caucasian",0,"M",1,"0"
"Male","25 - 45","African-American",0,"F",1,"0"
"Female","> 45","Caucasian",1,"F",14,"1"
"Male","25 - 45","African-American",7,"F",3,"1"
"Male","25 - 45","African-American",3,"F",1,"0"
"Male","25 - 45","Caucasian",6,"F",1,"1"
"Male","25 - 45","Caucasian",5,"F",1,"1"
"Male","> 45","African-American",13,"F",1,"1"
"Male","< 25","African-American",1,"F",3,"1"
"Male","25 - 45","Caucasian",0,"M",0,"1"
"Female","< 25","Caucasian",0,"F",1,"0"
"Male","25 - 45","Caucasian",1,"M",1,"0"
"Male","25 - 45","African-American",8,"F",17,"1"
"Female","25 - 45","Caucasian",3,"F",1,"0"
"Male","25 - 45","African-American",5,"F",1,"1"
"Male","25 - 45","African-American",0,"F",38,"1"
"Male","25 - 45","Caucasian",9,"F",44,"1"
"Male","25 - 45","African-American",4,"F",1,"1"
"Male","> 45","Caucasian",0,"F",2,"0"
"Male","25 - 45","Caucasian",6,"M",12,"0"
"Female","25 - 45","Caucasian",4,"M",11,"1"
"Male","< 25","Caucasian",1,"M",1,"1"
"Male","25 - 45","African-American",21,"F",33,"1"
"Male","25 - 45","Caucasian",0,"M",0,"0"
"Female","< 25","African-American",2,"F",80,"0"
"Male","> 45","African-American",2,"M",1,"0"
"Male","25 - 45","Caucasian",2,"M",1,"1"
"Female","> 45","African-American",7,"F",2,"0"
"Male","25 - 45","African-American",0,"F",0,"1"
"Male","25 - 45","Caucasian",9,"M",7,"1"
"Male","25 - 45","African-American",13,"F",1,"1"
"Male","> 45","Caucasian",0,"M",0,"0"
"Male","25 - 45","African-American",4,"M",51,"1"
"Male","25 - 45","African-American",0,"F",0,"0"
"Male","25 - 45","Caucasian",1,"F",0,"1"
"Male","> 45","Caucasian",20,"F",11,"1"
"Male","25 - 45","African-American",15,"F",136,"0"
"Male","< 25","African-American",2,"F",2,"1"
"Male","> 45","African-American",4,"M",1,"0"
"Male","> 45","Caucasian",8,"F",13,"0"
"Male","25 - 45","African-American",5,"F",1,"0"
"Male","> 45","African-American",10,"M",36,"1"
"Male","25 - 45","African-American",15,"F",1,"1"
"Male","25 - 45","Caucasian",4,"M",2,"1"
"Male","< 25","African-American",1,"F",1,"1"
"Male","< 25","African-American",2,"F",124,"1"
"Male","25 - 45","African-American",4,"F",19,"1"
"Male","25 - 45","African-American",6,"F",30,"1"
"Female","> 45","African-American",0,"M",3,"0"
"Male","25 - 45","African-American",1,"M",5,"0"
"Male","25 - 45","African-American",5,"F",1,"1"
"Male","25 - 45","Caucasian",1,"F",14,"1"
"Male","25 - 45","African-American",2,"F",3,"0"
"Male","< 25","African-American",1,"M",17,"1"
"Male","< 25","Caucasian",0,"F",58,"0"
"Female","25 - 45","African-American",1,"F",2,"1"
"Male","25 - 45","Caucasian",1,"F",19,"1"
"Male","25 - 45","African-American",0,"F",1,"0"
"Male","25 - 45","African-American",1,"M",2,"0"
"Male","25 - 45","African-American",8,"M",1,"1"
"Male","25 - 45","African-American",14,"F",7,"1"
"Male","< 25","African-American",2,"F",30,"1"
"Male","< 25","African-American",2,"M",1,"1"
"Female","25 - 45","African-American",1,"M",1,"0"
"Male","25 - 45","African-American",9,"F",4,"1"
"Male","25 - 45","Caucasian",7,"F",0,"1"
"Male","25 - 45","Caucasian",9,"F",1,"1"
"Female","< 25","Caucasian",0,"F",1,"0"
"Male","25 - 45","Caucasian",2,"F",0,"1"
"Male","> 45","Caucasian",3,"F",30,"0"
"Female","> 45","Caucasian",0,"M",0,"0"
"Male","< 25","African-American",1,"M",9,"1"
"Male","< 25","African-American",1,"F",137,"0"
"Male","25 - 45","African-American",1,"F",1,"0"
"Female","25 - 45","Caucasian",0,"F",2,"1"
"Male","< 25","Caucasian",8,"F",12,"1"
"Male","25 - 45","Caucasian",0,"F",6,"0"
"Male","25 - 45","Caucasian",0,"M",39,"0"
"Female","25 - 45","Caucasian",1,"F",107,"0"
"Male","> 45","African-American",14,"F",110,"1"
"Male","25 - 45","Caucasian",1,"F",1,"0"
"Male","< 25","African-American",3,"F",6,"1"
"Male","25 - 45","Caucasian",5,"M",3,"1"
"Male","25 - 45","Caucasian",0,"F",15,"0"
"Male","25 - 45","African-American",5,"F",0,"1"
"Male","25 - 45","African-American",3,"F",1,"0"
"Male","25 - 45","Caucasian",1,"F",1,"1"
"Male","25 - 45","African-American",10,"F",176,"1"
"Male","< 25","African-American",0,"F",1,"1"
"Male","25 - 45","African-American",28,"F",2,"1"
"Male","25 - 45","African-American",1,"M",1,"0"
"Male","25 - 45","Caucasian",13,"F",471,"1"
"Male","25 - 45","African-American",3,"F",1,"1"
"Male","> 45","African-American",8,"F",80,"0"
"Male","> 45","Caucasian",3,"M",1,"0"
"Male","25 - 45","African-American",19,"F",1,"1"
